TIME         XLEN    DLQ   ZSET      LAG  PENDING
14:42:21        0      0      0        0        0
14:42:22        0      0      0        0        0
14:42:22        0      0      0        0        0
14:42:23        0      0      0        0        0
14:42:23        0      0      0        0        0
14:42:24        0      0      0        0        0
14:42:24        0      0      0        0        0
14:42:25        0      0      0        0        0
14:42:25        0      0      0        0        0
14:42:26        0      0      0        0        0
14:42:26        0      0      0        0        0
14:42:27        0      0      0        0        0
14:42:27        0      0      0        0        0
14:42:28        0      0      0        0        0
14:42:28        0      0      0        0        0
14:42:29        0      0      0        0        0
14:42:29        0      0      0        0        0
14:42:30        0      0      0        0        0
14:42:30        0      0      0        0        0
14:42:31        0      0      0        0        0
14:42:31        0      0      0        0        0
14:42:32        0      0      0        0        0
14:42:32        0      0      0        0        0
14:42:33        0      0      0        0        0
14:42:33        0      0      0        0        0
14:42:34        0      0      0        0        0
14:42:34        0      0      0        0        0
14:42:35        0      0      0        0        0
14:42:35        0      0      0        0        0
14:42:36        0      0      0        0        0
14:42:36        0      0      0        0        0
14:42:37        0      0      0        0        0
14:42:37        0      0      0        0        0
14:42:38        0      0      0        0        0
14:42:38        0      0      0        0        0
14:42:39        0      0      0        0        0
14:42:39        0      0      0        0        0
14:42:40        0      0      0        0        0
14:42:40        0      0      0        0        0
14:42:41        0      0      0        0        0
14:42:41        0      0      0        0        0
14:42:42        0      0      0        0        0
14:42:42        0      0      0        0        0
14:42:43        0      0      0        0        0
14:42:43        0      0      0        0        0
14:42:44        0      0      0        0        0
14:42:44        0      0      0        0        0
14:42:45        0      0      0        0        0
14:42:45        0      0      0        0        0
14:42:46        0      0      0        0        0
14:42:46        0      0      0        0        0
14:42:47        0      0      0        0        0
14:42:47        0      0      0        0        0
14:42:48        0      0      0        0        0
14:42:48        0      0      0        0        0
14:42:49        0      0      0        0        0
14:42:49        0      0      0        0        0
14:42:50        0      0      0        0        0
14:42:50        0      0      0        0        0
14:42:51        0      0      0        0        0
14:42:51        0      0      0        0        0
14:42:52        0      0      0        0        0
14:42:52        0      0      0        0        0
14:42:53        0      0      0        0        0
14:42:53        0      0      0        0        0
14:42:54        0      0      0        0        0
14:42:54        0      0      0        0        0
14:42:55        0      0      0        0        0
14:42:55        0      0      0        0        0
14:42:56        0      0      0        0        0
14:42:56        0      0      0        0        0
14:42:57        0      0      0        0        0
14:42:57        0      0      0        0        0
14:42:58        0      0      0        0        0
14:42:58        0      0      0        0        0
14:42:59        0      0      0        0        0
14:42:59        0      0      0        0        0
14:43:00        0      0      0        0        0
14:43:00        0      0      0        0        0
14:43:01        0      0      0        0        0
14:43:01        0      0      0        0        0
14:43:02        0      0      0        0        0
14:43:02        0      0      0        0        0
14:43:03        0      0      0        0        0
14:43:03        0      0      0        0        0
14:43:04        0      0      0        0        0
14:43:04        0      0      0        0        0
14:43:05        0      0      0        0        0
14:43:05        0      0      0        0        0
14:43:06        0      0      0        0        0
14:43:06        0      0      0        0        0
14:43:07        0      0      0        0        0
14:43:07        0      0      0        0        0
14:43:08        0      0      0        0        0
14:43:08        0      0      0        0        0
14:43:09        0      0      0        0        0
14:43:09        0      0      0        0        0
14:43:10        0      0      0        0        0
14:43:10        0      0      0        0        0
14:43:11        0      0      0        0        0
14:43:11        0      0      0        0        0
14:43:12        0      0      0        0        0
14:43:12        0      0      0        0        0
